"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"147",2018-12-06 01:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",2018-12-06 00:00:00,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"149",2018-12-05 23:00:00,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2018-12-05 22:00:00,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"151",2018-12-05 21:00:00,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"152",2018-12-05 20:00:00,5,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
"153",2018-12-05 19:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",2018-12-05 18:00:00,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"155",2018-12-05 17:00:00,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"156",2018-12-05 16:00:00,7,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
"157",2018-12-05 15:00:00,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"158",2018-12-05 14:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"159",2018-12-05 13:00:00,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"160",2018-12-05 12:00:00,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",2018-12-05 11:00:00,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"162",2018-12-05 10:00:00,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"163",2018-12-05 09:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"164",2018-12-05 08:00:00,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"165",2018-12-05 07:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"166",2018-12-05 06:00:00,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"167",2018-12-05 05:00:00,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"168",2018-12-05 04:00:00,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",2018-12-05 03:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",2018-12-05 02:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"171",2018-12-05 01:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"172",2018-12-05 00:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"173",2018-12-04 23:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",2018-12-04 22:00:00,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"175",2018-12-04 21:00:00,2,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"176",2018-12-04 20:00:00,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"177",2018-12-04 19:00:00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",2018-12-04 18:00:00,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"179",2018-12-04 17:00:00,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"180",2018-12-04 16:00:00,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"181",2018-12-04 15:00:00,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"182",2018-12-04 14:00:00,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",2018-12-04 13:00:00,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"184",2018-12-04 12:00:00,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2018-12-04 11:00:00,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",2018-12-04 10:00:00,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",2018-12-04 09:00:00,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"188",2018-12-04 08:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"189",2018-12-04 07:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",2018-12-04 06:00:00,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"191",2018-12-04 05:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",2018-12-04 04:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",2018-12-04 03:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",2018-12-04 02:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"195",2018-12-04 01:00:00,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"196",2018-12-04 00:00:00,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"197",2018-12-03 23:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",2018-12-03 22:00:00,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"199",2018-12-03 21:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",2018-12-03 20:00:00,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"201",2018-12-03 19:00:00,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"202",2018-12-03 18:00:00,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"203",2018-12-03 17:00:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",2018-12-03 16:00:00,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"205",2018-12-03 15:00:00,8,1,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1
"206",2018-12-03 14:00:00,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
