"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"88",2018-09-06 01:00:00,94,21,6,4,0,4,0,4,0,0,0,0,7,3,0,0,0,2
"89",2018-09-05 01:00:00,84,21,2,4,0,6,0,4,0,0,0,0,2,0,0,0,0,1
"90",2018-09-04 01:00:00,82,19,5,5,0,3,0,3,0,0,1,0,1,3,0,0,0,1
"91",2018-09-03 01:00:00,49,7,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,2
"92",2018-09-02 01:00:00,61,12,4,5,0,2,1,2,5,0,0,0,1,1,0,0,0,0
"93",2018-09-01 01:00:00,91,20,4,5,0,7,0,1,2,0,0,0,1,4,0,0,0,1
"94",2018-08-31 01:00:00,92,22,6,4,0,4,0,0,1,0,2,0,3,3,0,0,0,3
"95",2018-08-30 01:00:00,83,11,12,8,0,8,0,0,5,0,0,0,2,2,0,0,0,1
"96",2018-08-29 01:00:00,101,14,2,6,0,9,0,1,6,0,0,0,2,1,0,0,0,3
"97",2018-08-28 01:00:00,80,6,8,3,0,3,0,0,1,0,0,0,2,3,0,0,0,4
"98",2018-08-27 01:00:00,52,8,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"99",2018-08-26 01:00:00,61,9,2,4,0,1,0,1,0,0,0,0,1,0,0,0,0,2
"100",2018-08-25 01:00:00,77,9,2,4,0,4,1,1,4,0,0,0,1,3,0,0,0,1
"101",2018-08-24 01:00:00,94,9,1,4,0,5,0,1,6,0,0,0,4,0,0,0,1,1
"102",2018-08-23 01:00:00,92,20,1,4,0,6,0,1,2,0,0,0,3,1,0,0,0,3
"103",2018-08-22 01:00:00,81,7,5,1,0,4,0,1,0,0,0,0,1,0,0,0,0,2
"104",2018-08-21 01:00:00,63,8,4,3,0,7,0,0,0,1,0,0,2,3,0,0,1,3
"105",2018-08-20 01:00:00,41,7,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"106",2018-08-19 01:00:00,41,5,3,2,0,3,0,1,0,0,0,0,1,0,0,0,1,1
"107",2018-08-18 01:00:00,77,12,4,4,0,9,0,0,0,0,3,0,2,3,0,1,2,2
"108",2018-08-17 01:00:00,75,28,4,1,0,6,0,0,0,0,0,0,1,0,0,0,0,1
"109",2018-08-16 01:00:00,68,15,1,3,0,6,1,1,0,0,0,0,2,1,0,0,0,1
"110",2018-08-15 01:00:00,82,19,3,1,0,9,0,1,0,0,1,0,1,2,0,0,0,2
"111",2018-08-14 01:00:00,72,13,1,3,0,4,0,2,0,0,0,0,4,1,0,0,0,6
"112",2018-08-13 01:00:00,46,11,3,1,0,1,0,1,1,0,1,0,0,0,0,0,1,3
"113",2018-08-12 01:00:00,46,6,2,2,0,3,0,2,1,0,0,0,3,0,0,0,0,1
"114",2018-08-11 01:00:00,77,9,4,4,0,4,0,0,3,0,0,0,4,2,0,0,0,1
"115",2018-08-10 01:00:00,82,15,5,2,0,5,0,1,0,0,0,0,2,0,0,0,1,1
"116",2018-08-09 01:00:00,86,15,5,6,0,9,0,0,0,0,0,0,1,1,0,0,0,2
"117",2018-08-08 01:00:00,83,22,5,2,0,4,0,0,0,0,0,0,1,0,0,0,1,0
"118",2018-08-07 01:00:00,77,20,2,2,0,2,0,0,0,0,2,0,1,2,0,0,0,1
"119",2018-08-06 01:00:00,43,8,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"120",2018-08-05 01:00:00,51,7,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"121",2018-08-04 01:00:00,93,18,3,7,0,4,1,3,1,0,2,0,4,3,0,0,0,2
"122",2018-08-03 01:00:00,79,11,5,1,0,4,0,1,1,0,0,0,2,4,0,0,0,1
"123",2018-08-02 01:00:00,84,11,2,4,0,7,0,0,0,0,0,0,3,1,0,0,0,2
"124",2018-08-01 01:00:00,71,21,4,5,0,8,1,1,3,0,0,0,4,2,0,0,0,1
"125",2018-07-31 01:00:00,68,10,2,6,0,3,0,0,4,0,0,0,2,1,0,0,0,2
"126",2018-07-30 01:00:00,45,3,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1
"127",2018-07-29 01:00:00,43,8,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0
"128",2018-07-28 01:00:00,88,8,2,4,0,5,0,0,2,0,0,0,3,1,0,0,0,2
"129",2018-07-27 01:00:00,84,15,3,4,0,2,0,0,0,0,1,0,4,0,0,0,0,1
"130",2018-07-26 01:00:00,90,11,3,3,0,5,1,0,0,0,2,0,3,1,0,0,0,1
"131",2018-07-25 01:00:00,73,17,3,1,0,3,0,0,0,0,3,0,3,0,0,0,0,1
"132",2018-07-24 01:00:00,64,9,2,3,0,3,0,1,2,0,0,0,3,2,0,0,0,2
"133",2018-07-23 01:00:00,39,7,2,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0
"134",2018-07-22 01:00:00,36,6,1,2,0,2,0,0,3,0,0,0,1,1,0,0,0,2
"135",2018-07-21 01:00:00,66,11,4,3,0,3,0,0,3,0,1,0,4,3,0,0,0,2
"136",2018-07-20 01:00:00,66,9,3,2,0,3,0,1,0,0,0,0,6,2,0,0,0,0
"137",2018-07-19 01:00:00,68,10,4,8,0,4,0,2,1,0,1,0,8,2,0,0,0,2
"138",2018-07-18 01:00:00,61,10,6,7,0,3,0,1,1,0,0,0,9,1,0,0,2,0
"139",2018-07-17 01:00:00,69,13,11,4,0,1,0,3,0,0,0,0,1,3,0,0,0,2
"140",2018-07-16 01:00:00,28,10,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"141",2018-07-15 01:00:00,45,6,1,3,0,3,0,1,0,0,5,0,6,8,0,0,0,2
"142",2018-07-14 01:00:00,63,9,3,4,0,2,0,2,2,0,3,0,4,4,0,0,2,4
"143",2018-07-13 01:00:00,71,11,5,13,0,2,0,1,1,0,0,0,4,1,0,0,0,3
"144",2018-07-12 01:00:00,58,20,3,10,0,4,0,3,1,0,0,0,1,1,0,0,3,2
"145",2018-07-11 01:00:00,59,25,10,5,0,2,0,6,1,0,1,0,1,1,0,0,4,1
"146",2018-07-10 01:00:00,62,14,6,2,0,2,0,2,1,0,2,0,2,2,0,0,1,1
"147",2018-07-09 01:00:00,39,13,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"148",2018-07-08 01:00:00,35,9,1,2,0,2,1,1,0,0,0,0,2,1,0,0,0,0
"149",2018-07-07 01:00:00,73,14,5,3,0,6,0,2,0,0,0,0,1,1,0,0,0,2
"150",2018-07-06 01:00:00,69,12,7,2,0,7,0,1,0,0,1,0,1,0,0,0,0,0
"151",2018-07-05 01:00:00,54,5,6,2,0,6,0,2,0,0,0,0,2,3,0,0,0,1
"152",2018-07-04 01:00:00,56,9,9,4,0,6,0,2,0,0,0,0,1,1,0,0,0,2
"153",2018-07-03 01:00:00,64,12,5,6,0,2,0,1,0,0,0,0,1,3,0,0,0,9
"154",2018-07-02 01:00:00,38,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4
"155",2018-07-01 01:00:00,45,11,4,3,0,3,0,2,0,0,1,0,0,1,0,0,1,2
"156",2018-06-30 01:00:00,70,11,11,2,0,3,0,4,0,0,0,0,1,5,0,0,1,8
"157",2018-06-29 01:00:00,71,13,5,2,0,3,0,1,0,0,2,0,2,0,0,0,0,0
"158",2018-06-28 01:00:00,72,8,14,2,0,4,1,0,1,0,7,0,1,1,0,0,0,3
"159",2018-06-27 01:00:00,70,14,8,1,0,1,0,1,0,0,3,0,1,1,0,0,1,5
"160",2018-06-26 01:00:00,67,19,9,2,0,1,2,1,1,0,4,0,3,2,0,0,2,6
"161",2018-06-25 01:00:00,37,8,6,2,0,2,0,0,0,0,2,0,1,2,0,0,1,2
"162",2018-06-24 01:00:00,41,5,9,4,0,1,0,0,0,0,1,0,1,2,0,0,1,0
"163",2018-06-23 01:00:00,71,15,11,5,0,2,2,1,0,0,2,0,2,2,0,0,1,4
"164",2018-06-22 01:00:00,68,17,2,5,0,3,0,0,2,0,0,0,3,0,0,0,0,4
"165",2018-06-21 01:00:00,66,14,7,6,0,3,1,0,2,0,1,0,1,1,0,0,0,12
"166",2018-06-20 01:00:00,71,15,7,2,0,1,0,0,0,0,1,0,2,1,0,0,1,1
"167",2018-06-19 01:00:00,62,14,12,3,0,4,0,1,1,0,0,0,2,4,0,0,0,1
"168",2018-06-18 01:00:00,40,7,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"169",2018-06-17 01:00:00,46,10,7,2,0,2,0,0,0,0,0,0,1,1,0,0,0,2
"170",2018-06-16 01:00:00,67,24,14,3,0,7,1,1,0,0,1,0,1,1,0,0,0,3
"171",2018-06-15 01:00:00,68,18,7,4,0,5,0,0,0,0,0,0,3,3,0,0,0,5
"172",2018-06-14 01:00:00,80,11,7,4,0,3,0,2,2,0,0,0,2,0,0,0,0,8
"173",2018-06-13 01:00:00,62,23,7,4,0,2,1,1,0,0,0,0,1,1,0,0,0,0
"174",2018-06-12 01:00:00,76,5,8,2,0,1,1,0,1,0,0,0,1,1,0,0,0,2
"175",2018-06-11 01:00:00,39,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"176",2018-06-10 01:00:00,35,8,9,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"177",2018-06-09 01:00:00,69,10,8,3,0,2,0,2,0,0,0,0,1,3,0,0,0,2
"178",2018-06-08 01:00:00,73,9,7,3,0,2,0,0,0,0,1,0,2,0,0,0,1,0
"179",2018-06-07 01:00:00,77,17,5,3,0,5,0,0,1,0,0,0,1,1,0,0,1,3
"180",2018-06-06 01:00:00,72,14,5,2,0,7,0,0,0,0,0,0,1,1,0,0,0,0
"181",2018-06-05 01:00:00,62,12,7,2,0,5,0,0,0,0,1,0,1,2,0,0,0,1
"182",2018-06-04 01:00:00,49,7,7,1,0,2,0,1,0,0,0,0,1,0,0,0,0,3
