"","Date","high","low","open","close"
"125",2018-10-03 04:00:00,6467.01,6429.21,6453.85,6457.1
"126",2018-10-03 05:00:00,6467.35,6453.24,6457.1,6459.52
"127",2018-10-03 06:00:00,6464.59,6439.23,6459.52,6461.45
"128",2018-10-03 07:00:00,6466.21,6448.95,6461.52,6449.12
"129",2018-10-03 08:00:00,6453.29,6443.58,6449.12,6447.09
"130",2018-10-03 09:00:00,6456.03,6444.77,6446.69,6455.02
"131",2018-10-03 10:00:00,6490.4,6454.47,6455.14,6476.44
"132",2018-10-03 11:00:00,6489.18,6466.6,6476.44,6482.78
"133",2018-10-03 12:00:00,6482.36,6465.89,6482.21,6465.89
"134",2018-10-03 13:00:00,6482.64,6453.86,6465.86,6473.08
"135",2018-10-03 14:00:00,6526.49,6466.56,6473.34,6513.37
"136",2018-10-03 15:00:00,6528.68,6494.27,6513.37,6498.62
"137",2018-10-03 16:00:00,6511.87,6487.52,6498.62,6500.84
"138",2018-10-03 17:00:00,6513.36,6492.11,6500.84,6497.76
"139",2018-10-03 18:00:00,6498.24,6466.24,6498.24,6480.78
"140",2018-10-03 19:00:00,6483.69,6447.23,6481.29,6464.47
"141",2018-10-03 20:00:00,6475.93,6454.2,6464.12,6470.01
"142",2018-10-03 21:00:00,6481.11,6445.13,6470.01,6445.13
"143",2018-10-03 22:00:00,6467.38,6442.5,6444.82,6466.53
"144",2018-10-03 23:00:00,6511.5,6466.44,6466.53,6492.26
"145",2018-10-04 00:00:00,6514.94,6486.86,6492.61,6509.98
"146",2018-10-04 01:00:00,6622.32,6509.74,6509.98,6583.2
"147",2018-10-04 02:00:00,6593.57,6574.22,6583.2,6588.62
"148",2018-10-04 03:00:00,6599.31,6583.65,6588.62,6589.03
"149",2018-10-04 04:00:00,6605.47,6587.78,6589.03,6597.52
"150",2018-10-04 05:00:00,6601.14,6576.33,6597.52,6582.29
"151",2018-10-04 06:00:00,6589.79,6567.04,6582.29,6571.04
"152",2018-10-04 07:00:00,6583.48,6566.06,6571.06,6568.73
"153",2018-10-04 08:00:00,6605.05,6562.56,6568.89,6566.91
"154",2018-10-04 09:00:00,6589.2,6561.57,6567.01,6581.72
"155",2018-10-04 10:00:00,6590.21,6556.13,6581.92,6563.35
"156",2018-10-04 11:00:00,6574.88,6555.72,6563.35,6555.72
"157",2018-10-04 12:00:00,6567.82,6552.08,6555.48,6563.73
"158",2018-10-04 13:00:00,6575.47,6560.81,6563.73,6570.16
"159",2018-10-04 14:00:00,6574.68,6564.93,6570.16,6565.87
"160",2018-10-04 15:00:00,6582.42,6559.95,6565.88,6582.21
"161",2018-10-04 16:00:00,6586.74,6575.23,6582.21,6575.75
"162",2018-10-04 17:00:00,6583.21,6571.43,6575.75,6582.24
"163",2018-10-04 18:00:00,6599.86,6582.16,6582.24,6593.46
"164",2018-10-04 19:00:00,6602.52,6592.13,6593.45,6598.43
"165",2018-10-04 20:00:00,6600.78,6575.09,6598.43,6582.21
"166",2018-10-04 21:00:00,6583.31,6549.01,6582.21,6578.77
"167",2018-10-04 22:00:00,6594.23,6578.53,6578.77,6584.2
"168",2018-10-04 23:00:00,6586.65,6570,6584.2,6579.79
"169",2018-10-05 00:00:00,6615.93,6580,6580,6613.4
"170",2018-10-05 01:00:00,6613.9,6592.15,6611.68,6601.42
"171",2018-10-05 02:00:00,6602.08,6546.98,6601.42,6560.12
"172",2018-10-05 03:00:00,6576.49,6560.08,6560.12,6567.9
"173",2018-10-05 04:00:00,6574.74,6563.03,6568.1,6572.46
"174",2018-10-05 05:00:00,6572.71,6558.09,6572.69,6568.85
"175",2018-10-05 06:00:00,6592.54,6567.68,6568.85,6588.1
"176",2018-10-05 07:00:00,6588.14,6561.27,6588.12,6563.14
"177",2018-10-05 08:00:00,6571.14,6560.18,6563.14,6562.38
"178",2018-10-05 09:00:00,6564.71,6558.25,6562.38,6564.71
"179",2018-10-05 10:00:00,6572.57,6564.64,6564.71,6566.29
"180",2018-10-05 11:00:00,6584.99,6565.92,6566.44,6575.42
"181",2018-10-05 12:00:00,6578.4,6567.04,6575.42,6573.46
"182",2018-10-05 13:00:00,6588.11,6572.35,6573.93,6580.81
"183",2018-10-05 14:00:00,6588.24,6575.36,6581.15,6582.89
"184",2018-10-05 15:00:00,6586.35,6582.73,6583.22,6583.85
"185",2018-10-05 16:00:00,6591.38,6571.44,6584.14,6577.15
"186",2018-10-05 17:00:00,6577.82,6563.19,6577.15,6570.92
"187",2018-10-05 18:00:00,6577.37,6567.7,6570.93,6573.1
"188",2018-10-05 19:00:00,6583.38,6572.3,6573.97,6581.06
"189",2018-10-05 20:00:00,6586.21,6575.36,6581.06,6577.96
"190",2018-10-05 21:00:00,6592.01,6575.99,6577.96,6591.38
"191",2018-10-05 22:00:00,6683.55,6591.26,6591.38,6621.49
"192",2018-10-05 23:00:00,6637.4,6609.7,6622.51,6632.87
"193",2018-10-06 00:00:00,6637.08,6604.96,6632.88,6613.14
"194",2018-10-06 01:00:00,6626.22,6613.14,6613.14,6618
"195",2018-10-06 02:00:00,6619.76,6581.67,6618,6597.27
"196",2018-10-06 03:00:00,6603.39,6596.1,6597.27,6600.13
"197",2018-10-06 04:00:00,6604.91,6599.09,6600.13,6602.58
"198",2018-10-06 05:00:00,6608.97,6600.88,6602.58,6603.84
"199",2018-10-06 06:00:00,6607.24,6593.51,6603.84,6602.76
"200",2018-10-06 07:00:00,6610.05,6602.33,6602.42,6609.33
"201",2018-10-06 08:00:00,6610.06,6593.48,6609.33,6593.62
"202",2018-10-06 09:00:00,6606.06,6589.67,6593.62,6603.47
"203",2018-10-06 10:00:00,6611.39,6602.65,6603.47,6604.12
"204",2018-10-06 11:00:00,6605.56,6563.95,6604.12,6580.77
"205",2018-10-06 12:00:00,6587.83,6575.76,6580.96,6584.08
"206",2018-10-06 13:00:00,6585.57,6564.08,6584.08,6574.17
"207",2018-10-06 14:00:00,6580.04,6563.25,6574.17,6578.29
"208",2018-10-06 15:00:00,6588.97,6572.94,6578.64,6588.41
"209",2018-10-06 16:00:00,6594.95,6586.31,6588.41,6587.12
"210",2018-10-06 17:00:00,6593.42,6583.34,6587.14,6590.52
"211",2018-10-06 18:00:00,6591.39,6575.98,6590.52,6580.73
"212",2018-10-06 19:00:00,6582.12,6567.67,6581.06,6580.82
"213",2018-10-06 20:00:00,6592.54,6574.63,6580.82,6592.19
